rms,zcr,centroid,mfcc1,time,emotion,valence,arousal
0.0,0.0,0.0,0.0,0.0,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.023219954648526078,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.046439909297052155,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.06965986394557823,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.09287981859410431,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.11609977324263039,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.13931972789115646,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.16253968253968254,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.18575963718820862,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.2089795918367347,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.23219954648526078,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.25541950113378686,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.2786394557823129,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.301859410430839,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.3250793650793651,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.34829931972789113,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.37151927437641724,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.3947392290249433,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.4179591836734694,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.44117913832199546,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.46439909297052157,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.4876190476190476,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.5108390022675737,neutral,0.0,0.0
0.0,0.0,0.0,0.0,0.5340589569160997,neutral,0.0,0.0
1.608914876295053e-08,0.0018575851393188856,0.3705217887064682,0.0,0.5572789115646258,neutral,0.0,0.0
7.547581664153109e-06,0.08359133126934985,0.3600497703860104,0.0,0.5804988662131519,neutral,0.0,0.0
0.4750029517187075,0.12012383900928793,0.1834519822909536,0.6370030667741469,0.603718820861678,neutral,0.0,0.0
0.6375957801777317,0.12260061919504645,0.1443289189818113,0.846628003298074,0.626938775510204,neutral,0.0,0.0
0.7762692471163833,0.12260061919504645,0.10261536653998599,0.7999631095782835,0.6501587301587302,neutral,0.0,0.0
0.8422872747182091,0.043343653250773995,0.023591131476013064,0.39076549160993823,0.6733786848072563,neutral,0.0,0.0
0.7990439229735414,0.008049535603715172,0.022340356918454287,0.32988549294103386,0.6965986394557823,neutral,0.0,0.0
0.7116516311084568,0.009287925696594427,0.023359348843131005,0.34139859394272704,0.7198185941043084,neutral,0.0,0.0
0.6175443809877241,0.009287925696594427,0.02725833917731557,0.344053834058795,0.7430385487528345,neutral,0.0,0.0
0.6223702930849491,0.010526315789473686,0.03114891213828202,0.3478195975800332,0.7662585034013606,neutral,0.0,0.0
0.5270691171438944,0.0130030959752322,0.026667995507753135,0.3417740592241202,0.7894784580498866,neutral,0.0,0.0
0.5703424973122408,0.011764705882352941,0.03041978435041126,0.34039222657698703,0.8126984126984127,neutral,0.0,0.0
0.5351075862453459,0.016099071207430343,0.030103450776614134,0.34363529426188344,0.8359183673469388,neutral,0.0,0.0
0.5367283139083155,0.018575851393188854,0.04138598702672971,0.3633450322330924,0.8591383219954648,neutral,0.0,0.0
0.5480017267958046,0.0173374613003096,0.0672125069115742,0.4057174386218257,0.8823582766439909,neutral,0.0,0.0
0.543928839308864,0.0173374613003096,0.05901851803609776,0.38730713344627216,0.905578231292517,neutral,0.0,0.0
0.5633503950029258,0.016099071207430343,0.03296347179428847,0.3384382198698417,0.9287981859410431,neutral,0.0,0.0
0.5397583863521568,0.01238390092879257,0.03077496925306148,0.3197970254392506,0.9520181405895691,neutral,0.0,0.0
0.5412990920330286,0.018575851393188854,0.03970710854157156,0.3462661236614061,0.9752380952380952,neutral,0.0,0.0
